ARR_DELAY_NEW (min),DEP_DELAY_NEW (min),AIR_TIME (min),DISTANCE (miles),CARRIER_DELAY (min),NAS_DELAY (min),LATE_AIRCRAFT_DELAY (min),ORIGIN_STATE_ABR
18.0,24.0,73.0,453.0,4.0,0.0,14.0,MI
74.0,72.0,60.0,266.0,0.0,74.0,0.0,VT
8.0,6.0,23.0,102.0,0.0,0.0,0.0,HI
0.0,2.0,114.0,907.0,0.0,0.0,0.0,MN
3.0,0.0,61.0,301.0,0.0,0.0,0.0,NY
0.0,8.0,94.0,836.0,0.0,0.0,0.0,WA
19.0,27.0,59.0,414.0,0.0,15.0,4.0,CA
0.0,2.0,170.0,1589.0,0.0,0.0,0.0,CA
28.0,22.0,151.0,1096.0,22.0,6.0,0.0,FL
71.0,83.0,66.0,404.0,8.0,0.0,63.0,FL
115.0,107.0,81.0,468.0,0.0,8.0,59.0,NC
83.0,53.0,105.0,632.0,0.0,83.0,0.0,MI
76.0,83.0,114.0,977.0,7.0,0.0,69.0,CO
48.0,51.0,62.0,441.0,6.0,0.0,42.0,TX
102.0,115.0,57.0,391.0,0.0,0.0,0.0,TN
1.0,2.0,37.0,190.0,0.0,0.0,0.0,TX
9.0,0.0,50.0,248.0,0.0,0.0,0.0,TX
9.0,0.0,103.0,817.0,0.0,0.0,0.0,OR
0.0,2.0,123.0,842.0,0.0,0.0,0.0,MD
17.0,19.0,171.0,1258.0,15.0,0.0,2.0,FL
12.0,21.0,28.0,162.0,0.0,0.0,0.0,IL
87.0,12.0,189.0,1235.0,0.0,87.0,0.0,TX
2.0,0.0,44.0,270.0,0.0,0.0,0.0,GA
45.0,51.0,95.0,737.0,0.0,0.0,45.0,CA
41.0,43.0,89.0,531.0,0.0,0.0,41.0,MT
0.0,19.0,323.0,2402.0,0.0,0.0,0.0,NJ
7.0,0.0,149.0,936.0,0.0,0.0,0.0,TX
73.0,59.0,95.0,642.0,59.0,14.0,0.0,IL
32.0,28.0,322.0,2176.0,18.0,4.0,10.0,PA
20.0,0.0,111.0,626.0,0.0,20.0,0.0,UT
6.0,0.0,106.0,696.0,0.0,0.0,0.0,CA
7.0,34.0,124.0,740.0,0.0,0.0,0.0,NY
0.0,13.0,188.0,1488.0,0.0,0.0,0.0,IN
4.0,0.0,127.0,933.0,0.0,0.0,0.0,CA
0.0,1.0,119.0,883.0,0.0,0.0,0.0,CO
86.0,88.0,45.0,296.0,67.0,0.0,19.0,CA
0.0,6.0,31.0,175.0,0.0,0.0,0.0,TX
11.0,0.0,212.0,1849.0,0.0,0.0,0.0,AZ
0.0,2.0,45.0,255.0,0.0,0.0,0.0,AZ
15.0,7.0,55.0,258.0,7.0,8.0,0.0,NV
24.0,20.0,67.0,447.0,2.0,4.0,18.0,CA
4.0,14.0,97.0,674.0,0.0,0.0,0.0,FL
0.0,24.0,132.0,918.0,0.0,0.0,0.0,FL
22.0,13.0,37.0,190.0,0.0,9.0,13.0,TX
44.0,63.0,84.0,641.0,28.0,0.0,16.0,NY
18.0,14.0,190.0,1440.0,6.0,4.0,8.0,AZ
13.0,21.0,103.0,700.0,0.0,0.0,0.0,FL
31.0,45.0,262.0,2338.0,4.0,0.0,27.0,HI
4.0,16.0,58.0,413.0,0.0,0.0,0.0,IL
19.0,22.0,61.0,368.0,5.0,0.0,14.0,UT
0.0,1.0,68.0,413.0,0.0,0.0,0.0,VA
0.0,13.0,80.0,550.0,0.0,0.0,0.0,CA
32.0,0.0,41.0,216.0,32.0,0.0,0.0,HI
17.0,12.0,134.0,1035.0,12.0,5.0,0.0,FL
6.0,9.0,32.0,163.0,0.0,0.0,0.0,HI
7.0,1.0,147.0,936.0,0.0,0.0,0.0,NJ
0.0,10.0,149.0,1056.0,0.0,0.0,0.0,NY
0.0,2.0,97.0,862.0,0.0,0.0,0.0,CA
6.0,0.0,147.0,845.0,0.0,0.0,0.0,CO
