"DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","ORIGIN","ORIGIN_STATE_ABR","ORIGIN_STATE_NM","DEST","DEST_STATE_ABR","DEST_STATE_NM","DEP_DELAY_NEW","ARR_DELAY_NEW","CANCELLED","CANCELLATION_CODE","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
27,6,2018-01-27,"ATL","GA","Georgia","MCO","FL","Florida",0.00,0.00,0.00,"",61.00,404.00,,,,,,
24,3,2018-01-24,"EWR","NJ","New Jersey","IAH","TX","Texas",50.00,41.00,0.00,"",200.00,1400.00,41.00,0.00,0.00,0.00,0.00,
5,5,2018-01-05,"ORD","IL","Illinois","MEI","MS","Mississippi",91.00,82.00,0.00,"",85.00,667.00,82.00,0.00,0.00,0.00,0.00,
7,7,2018-01-07,"CLT","NC","North Carolina","MDT","PA","Pennsylvania",17.00,19.00,0.00,"",63.00,413.00,13.00,0.00,2.00,0.00,4.00,
24,3,2018-01-24,"LAX","CA","California","CLE","OH","Ohio",0.00,0.00,0.00,"",239.00,2052.00,,,,,,
8,1,2018-01-08,"SBA","CA","California","DEN","CO","Colorado",0.00,0.00,0.00,"",117.00,916.00,,,,,,
5,5,2018-01-05,"BGR","ME","Maine","LGA","NY","New York",317.00,271.00,0.00,"",65.00,378.00,0.00,80.00,0.00,0.00,191.00,
4,4,2018-01-04,"PHL","PA","Pennsylvania","PIT","PA","Pennsylvania",,,1.00,"B",,268.00,,,,,,
11,4,2018-01-11,"DEN","CO","Colorado","EUG","OR","Oregon",0.00,0.00,0.00,"",165.00,996.00,,,,,,
22,1,2018-01-22,"TYS","TN","Tennessee","CLT","NC","North Carolina",0.00,4.00,0.00,"",37.00,177.00,,,,,,
7,7,2018-01-07,"HNL","HI","Hawaii","SFO","CA","California",0.00,0.00,0.00,"",284.00,2398.00,,,,,,
4,4,2018-01-04,"CVG","KY","Kentucky","ORD","IL","Illinois",13.00,45.00,0.00,"",50.00,264.00,13.00,0.00,32.00,0.00,0.00,
7,7,2018-01-07,"ONT","CA","California","MDW","IL","Illinois",0.00,0.00,0.00,"",211.00,1706.00,,,,,,
28,7,2018-01-28,"ASE","CO","Colorado","DFW","TX","Texas",7.00,0.00,0.00,"",96.00,701.00,,,,,,
7,7,2018-01-07,"ORD","IL","Illinois","MKE","WI","Wisconsin",89.00,77.00,0.00,"",21.00,67.00,35.00,0.00,0.00,0.00,42.00,
24,3,2018-01-24,"SAV","GA","Georgia","CLT","NC","North Carolina",0.00,0.00,0.00,"",46.00,213.00,,,,,,
