P1	P2	A	D
1.306206263631834785e+00	1.793422985691284888e+00	4.100000000000000000e+01	5.000000000000000000e+01
4.362172409194195133e+00	6.789270846362757128e-01	8.200000000000000000e+01	9.100000000000000000e+01
2.934707359943510840e-01	-9.176348732404818742e-01	1.900000000000000000e+01	1.700000000000000000e+01
-6.488151437338558480e-01	-1.696667485971822487e+00	4.000000000000000000e+00	0.000000000000000000e+00
1.243293228217631441e+00	-6.740903545312234568e-01	4.500000000000000000e+01	1.300000000000000000e+01
-8.780718738463869633e-01	-6.016292123652788870e-01	0.000000000000000000e+00	7.000000000000000000e+00
4.538361628686534033e+00	-7.519496227399923294e-01	7.700000000000000000e+01	8.900000000000000000e+01
-4.698353116163010990e-01	-9.067893389591749065e-01	2.000000000000000000e+00	2.000000000000000000e+01
-6.629539445964571787e-01	-1.652437398674482028e+00	3.000000000000000000e+00	1.000000000000000000e+00
-1.286533290515393890e+00	6.306662228984480922e-01	0.000000000000000000e+00	3.000000000000000000e+00
3.117177970526592734e+00	1.425870485764511031e+00	7.900000000000000000e+01	5.900000000000000000e+01
-9.348798926087460437e-01	-8.848799009656795889e-01	0.000000000000000000e+00	1.000000000000000000e+00
-6.353218541355203364e-01	-1.121932861678007320e+00	1.100000000000000000e+01	0.000000000000000000e+00
-1.304203850782930552e+00	8.996942057553322103e-01	5.000000000000000000e+00	0.000000000000000000e+00
-6.741207340814385773e-01	-1.303373197199242384e+00	0.000000000000000000e+00	8.000000000000000000e+00
-9.007887693934220064e-01	-9.341622105014668609e-01	0.000000000000000000e+00	2.000000000000000000e+00
-7.878066682581080782e-01	-1.450390716745976638e+00	0.000000000000000000e+00	1.000000000000000000e+00
-8.229234603822508376e-01	-1.386398012534924840e-01	1.400000000000000000e+01	0.000000000000000000e+00
-2.286836094827484067e-01	-1.350270208437792219e+00	1.200000000000000000e+01	1.500000000000000000e+01
-1.576094947596998308e+00	1.972960681524285498e+00	0.000000000000000000e+00	6.000000000000000000e+00
-1.609871837986375231e-01	1.009817610622185224e+00	3.000000000000000000e+01	0.000000000000000000e+00
1.760497301985592067e+00	1.085985346192519074e+00	5.300000000000000000e+01	4.400000000000000000e+01
9.450913273671470716e-01	4.011401127645439213e-01	5.100000000000000000e+01	2.000000000000000000e+00
-4.192748985437164677e-01	3.471748243652323929e+00	2.200000000000000000e+01	3.100000000000000000e+01
5.967814230666745878e-01	-9.419085901860519972e-01	2.100000000000000000e+01	2.500000000000000000e+01
-8.962721994309449380e-01	-8.533384453700167960e-01	3.000000000000000000e+00	0.000000000000000000e+00
-2.833252410237090957e-01	2.147301233715460000e+00	1.600000000000000000e+01	3.400000000000000000e+01
3.306479793202016015e+00	-9.111954038833565139e-01	5.400000000000000000e+01	7.800000000000000000e+01
-1.065598256565847279e+00	-3.956797982582810902e-01	0.000000000000000000e+00	1.000000000000000000e+00
-9.167076166726344510e-01	-8.629126253783130363e-01	2.000000000000000000e+00	0.000000000000000000e+00
-1.003474777007606900e+00	-2.211535639962251831e-01	0.000000000000000000e+00	6.000000000000000000e+00
-6.148664311631704127e-01	-1.456284096773538650e+00	0.000000000000000000e+00	9.000000000000000000e+00
-1.704129701881849757e+00	2.878013565830372933e+00	0.000000000000000000e+00	1.100000000000000000e+01
3.197057424165363204e-01	-8.341169058456623375e-01	2.500000000000000000e+01	1.000000000000000000e+01
-1.129148051094945648e+00	1.332159631649286080e+00	0.000000000000000000e+00	1.900000000000000000e+01
-7.762764186846495829e-01	-1.407429249266005433e+00	2.000000000000000000e+00	0.000000000000000000e+00
