origin,destination,flights
AK,AK,20511
AK,AR,1
AK,AZ,171
AK,CA,628
AK,CO,438
AK,GA,113
AK,HI,449
AK,IL,690
AK,MN,667
AK,NJ,13
AK,NV,78
AK,OR,986
AK,TX,193
AK,UT,31
AK,WA,11427
AL,CO,418
AL,FL,1420
AL,GA,10336
AL,IL,2543
AL,MD,385
AL,MI,395
AL,NV,374
AL,NY,436
AL,TX,5978
AR,AZ,364
AR,CA,350
AR,CO,1059
AR,GA,4410
AR,IL,1512
AR,KY,259
AR,MI,229
AR,MN,455
AR,MO,675
AR,NV,365
AR,NY,265
AR,TX,3928
AZ,AK,171
AZ,AR,365
AZ,AZ,7104
AZ,CA,45326
AZ,CO,11527
AZ,FL,4155
AZ,GA,4269
AZ,HI,2314
AZ,IA,806
AZ,ID,1113
AZ,IL,9376
AZ,IN,1335
AZ,KS,365
AZ,KY,688
AZ,LA,376
AZ,MA,1606
AZ,MD,1779
AZ,MI,2937
AZ,MN,4311
AZ,MO,4082
AZ,NC,3408
AZ,NE,1501
AZ,NJ,2387
AZ,NM,3254
AZ,NV,8248
AZ,NY,3100
AZ,OH,1817
AZ,OK,1365
AZ,OR,4182
AZ,PA,3647
AZ,TN,1334
AZ,TX,18627
AZ,UT,6291
AZ,VA,1444
AZ,WA,6611
AZ,WI,1645
AZ,WY,81
CA,AK,618
CA,AR,350
CA,AZ,45357
CA,CA,241921
CA,CO,40863
CA,CT,420
CA,FL,16010
CA,GA,15234
CA,HI,24100
CA,ID,4251
CA,IL,31185
CA,IN,1802
CA,KY,1543
CA,LA,3582
CA,MA,11444
CA,MD,5284
CA,MI,5080
CA,MN,10540
CA,MO,7122
CA,MT,604
CA,NC,7056
CA,NE,657
CA,NJ,14740
CA,NM,3212
CA,NV,51048
CA,NY,25346
CA,OH,2560
CA,OK,709
CA,OR,30806
CA,PA,6574
CA,TN,3909
CA,TX,59245
CA,UT,27635
CA,VA,10642
CA,WA,43675
CA,WI,845
CA,WY,479
CO,AK,441
CO,AL,416
CO,AR,1121
CO,AZ,11527
CO,CA,40744
CO,CO,12973
CO,CT,763
CO,FL,9794
CO,GA,6356
CO,HI,805
CO,IA,2168
CO,ID,3280
CO,IL,12354
CO,IN,1982
CO,KS,1664
CO,KY,1804
CO,LA,1927
CO,MA,2862
CO,MD,2457
CO,MI,3906
CO,MN,5935
CO,MO,6635
CO,MT,4703
CO,NC,4428
CO,ND,2913
CO,NE,3388
CO,NJ,3775
CO,NM,2009
CO,NV,9097
CO,NY,5569
CO,OH,2505
CO,OK,3556
CO,OR,5635
CO,PA,4072
CO,RI,124
CO,SC,96
CO,SD,1869
CO,TN,3196
CO,TX,25382
CO,UT,10048
CO,VA,5634
CO,WA,8980
CO,WI,3111
CO,WY,2852
CT,CA,420
CT,CO,763
CT,FL,5871
CT,GA,2265
CT,IL,2601
CT,MD,2487
CT,MI,1347
CT,MN,905
CT,NC,2042
CT,NJ,277
CT,NV,251
CT,OH,94
CT,PA,393
CT,PR,544
CT,RI,1
CT,SC,157
CT,TX,679
CT,VA,1114
FL,AL,1422
FL,AZ,4148
FL,CA,16007
FL,CO,9766
FL,CT,5878
FL,FL,19865
FL,GA,60955
FL,IA,81
FL,IL,26880
FL,IN,3819
FL,KY,3383
FL,LA,5528
FL,MA,17514
FL,MD,17770
FL,ME,7
FL,MI,13041
FL,MN,5863
FL,MO,7683
FL,NC,21670
FL,NE,215
FL,NH,1226
FL,NJ,29278
FL,NM,78
FL,NV,4635
FL,NY,56632
FL,OH,7522
FL,OK,103
FL,OR,291
FL,PA,20252
FL,PR,11638
FL,RI,4042
FL,SC,770
FL,TN,8303
FL,TX,41101
FL,UT,1744
FL,VA,21278
FL,VI,1911
FL,WA,2182
FL,WI,3008
GA,AK,113
GA,AL,10336
GA,AR,4408
GA,AZ,4270
GA,CA,15233
GA,CO,6448
GA,CT,2265
GA,FL,60969
GA,GA,16866
GA,HI,365
GA,IA,1739
GA,IL,14926
GA,IN,7450
GA,KS,1048
GA,KY,7705
GA,LA,13018
GA,MA,7006
GA,MD,6555
GA,ME,688
GA,MI,8434
GA,MN,5582
GA,MO,9358
GA,MS,4644
GA,MT,109
GA,NC,19588
GA,ND,10
GA,NE,2031
GA,NH,364
GA,NJ,7151
GA,NM,865
GA,NV,4700
GA,NY,18920
