"ST","MO","NO"
AK,1,2637
AK,2,2333
AK,3,2655
AK,4,2601
AK,5,3021
AK,6,3930
AK,7,4169
AK,8,4022
AK,9,2970
AK,10,2764
AK,11,2591
AK,12,2703
AL,1,1925
AL,2,1756
AL,3,2043
AL,4,1767
AL,5,1896
AL,6,1828
AL,7,1853
AL,8,1928
AL,9,1843
AL,10,1840
AL,11,1763
AL,12,1843
AR,1,1187
AR,2,1051
AR,3,1238
AR,4,1158
AR,5,1209
AR,6,1256
AR,7,1096
AR,8,1115
AR,9,1130
AR,10,1254
AR,11,1153
AR,12,1024
AZ,1,14916
AZ,2,13484
AZ,3,16219
AZ,4,14964
AZ,5,15079
AZ,6,14481
AZ,7,14669
AZ,8,14427
AZ,9,12920
AZ,10,14090
AZ,11,13406
AZ,12,14292
CA,1,59268
CA,2,53269
CA,3,62414
CA,4,60481
CA,5,63715
CA,6,64869
CA,7,67188
CA,8,69041
CA,9,63081
CA,10,66388
CA,11,62504
CA,12,64230
CO,1,19432
CO,2,17706
CO,3,21186
CO,4,18990
CO,5,20340
CO,6,21448
CO,7,22564
CO,8,22797
CO,9,20351
CO,10,20692
CO,11,18897
CO,12,20453
CT,1,1731
CT,2,1562
CT,3,1822
CT,4,1859
CT,5,1931
CT,6,1914
CT,7,1986
CT,8,2011
CT,9,1808
CT,10,1876
CT,11,1839
CT,12,1872
FL,1,40058
FL,2,36712
FL,3,44630
FL,4,41740
FL,5,37850
FL,6,37432
FL,7,38606
FL,8,36643
FL,9,31757
FL,10,34613
FL,11,36848
FL,12,40600
GA,1,31124
GA,2,28563
GA,3,33660
GA,4,32374
GA,5,33457
GA,6,33290
GA,7,33434
GA,8,33117
GA,9,29550
GA,10,30659
GA,11,29019
GA,12,29041
HI,1,8285
HI,2,7609
HI,3,8857
HI,4,8438
HI,5,8803
HI,6,9363
HI,7,9737
HI,8,9478
HI,9,8223
HI,10,8506
HI,11,8286
HI,12,9112
IA,1,1024
IA,2,942
